GEO_ID,NAME,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_011E,S1903_C01_011M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C01_032E,S1903_C01_032M,S1903_C01_033E,S1903_C01_033M,S1903_C01_034E,S1903_C01_034M,S1903_C01_035E,S1903_C01_035M,S1903_C01_036E,S1903_C01_036M,S1903_C01_037E,S1903_C01_037M,S1903_C01_038E,S1903_C01_038M,S1903_C01_039E,S1903_C01_039M,S1903_C01_040E,S1903_C01_040M,S1903_C02_001E,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_011E,S1903_C02_011M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,S1903_C02_032E,S1903_C02_032M,S1903_C02_033E,S1903_C02_033M,S1903_C02_034E,S1903_C02_034M,S1903_C02_035E,S1903_C02_035M,S1903_C02_036E,S1903_C02_036M,S1903_C02_037E,S1903_C02_037M,S1903_C02_038E,S1903_C02_038M,S1903_C02_039E,S1903_C02_039M,S1903_C02_040E,S1903_C02_040M,S1903_C03_001E,S1903_C03_001M,S1903_C03_002E,S1903_C03_002M,S1903_C03_003E,S1903_C03_003M,S1903_C03_004E,S1903_C03_004M,S1903_C03_005E,S1903_C03_005M,S1903_C03_006E,S1903_C03_006M,S1903_C03_007E,S1903_C03_007M,S1903_C03_008E,S1903_C03_008M,S1903_C03_009E,S1903_C03_009M,S1903_C03_010E,S1903_C03_010M,S1903_C03_011E,S1903_C03_011M,S1903_C03_012E,S1903_C03_012M,S1903_C03_013E,S1903_C03_013M,S1903_C03_014E,S1903_C03_014M,S1903_C03_015E,S1903_C03_015M,S1903_C03_016E,S1903_C03_016M,S1903_C03_017E,S1903_C03_017M,S1903_C03_018E,S1903_C03_018M,S1903_C03_019E,S1903_C03_019M,S1903_C03_020E,S1903_C03_020M,S1903_C03_021E,S1903_C03_021M,S1903_C03_022E,S1903_C03_022M,S1903_C03_023E,S1903_C03_023M,S1903_C03_024E,S1903_C03_024M,S1903_C03_025E,S1903_C03_025M,S1903_C03_026E,S1903_C03_026M,S1903_C03_027E,S1903_C03_027M,S1903_C03_028E,S1903_C03_028M,S1903_C03_029E,S1903_C03_029M,S1903_C03_030E,S1903_C03_030M,S1903_C03_031E,S1903_C03_031M,S1903_C03_032E,S1903_C03_032M,S1903_C03_033E,S1903_C03_033M,S1903_C03_034E,S1903_C03_034M,S1903_C03_035E,S1903_C03_035M,S1903_C03_036E,S1903_C03_036M,S1903_C03_037E,S1903_C03_037M,S1903_C03_038E,S1903_C03_038M,S1903_C03_039E,S1903_C03_039M,S1903_C03_040E,S1903_C03_040M,Unnamed: 242,ZCTA5
860Z200US94020,ZCTA5 94020,762,242,629,165,0,14,0,14,106,168,0,14,27,41,0,14,0,14,629,165,0,14,165,89,280,190,317,140,475,150,141,80,334,140,475,150,141,80,0,14,0,14,0,14,0,14,270,132,135,82,29,31,31,49,10,16,0,14,60,51,127,98,253,96,35,44,287,192,161,176,137,174,24,26,126,83,111,79,15,22,762,242,82.5,19.3,0.0,5.4,0.0,5.4,13.9,19.1,0.0,5.4,3.5,5.3,0.0,5.4,0.0,5.4,82.5,19.3,0.0,5.4,21.7,12.6,36.7,17.4,41.6,16.7,475,150,29.7,16.0,70.3,16.0,100.0,8.6,29.7,16.0,0.0,8.6,0.0,8.6,0.0,8.6,0.0,8.6,56.8,17.7,28.4,15.9,6.1,6.6,6.5,10.3,2.1,3.5,0.0,8.6,12.6,9.9,26.7,17.1,53.3,16.5,7.4,8.7,287,192,56.1,35.5,47.7,37.1,8.4,11.1,43.9,35.5,38.7,33.6,5.2,8.5,"250,000+",***,"250,000+",***,-,**,-,**,-,**,-,**,-,**,-,**,-,**,"250,000+",***,-,**,"250,000+",***,216958,48634,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,-,**,-,**,-,**,-,**,"250,000+",***,"250,000+",***,"250,000+",***,-,**,-,**,-,**,98958,66969,"250,000+",***,"250,000+",***,-,**,215861,171210,216167,107347,-,**,-,**,-,**,-,**,-,**,,94020
860Z200US94022,ZCTA5 94022,7268,264,4190,289,0,21,19,28,2843,294,0,21,62,42,154,76,155,72,4149,288,30,28,1407,217,2840,244,2991,263,5625,289,2269,189,3356,280,4997,286,2110,195,359,206,93,55,269,139,66,43,2770,271,1069,189,1249,186,384,105,127,70,26,26,1029,159,1729,205,2530,262,337,118,1643,224,1023,174,807,150,216,92,620,137,423,103,197,105,7268,264,57.6,3.6,0.0,0.6,0.3,0.4,39.1,3.7,0.0,0.6,0.9,0.6,2.1,1.0,2.1,1.0,57.1,3.6,0.4,0.4,19.4,2.8,39.1,3.1,41.2,3.4,5625,289,40.3,3.2,59.7,3.2,88.8,4.0,37.5,3.3,6.4,3.5,1.7,1.0,4.8,2.5,1.2,0.8,49.2,3.7,19.0,3.2,22.2,3.2,6.8,1.9,2.3,1.3,0.5,0.5,18.3,2.7,30.7,3.4,45.0,3.9,6.0,2.1,1643,224,62.3,6.5,49.1,6.9,13.1,5.0,37.7,6.5,25.7,5.3,12.0,6.2,"250,000+",***,243548,30020,-,**,-,**,"250,000+",***,-,**,"250,000+",***,"250,000+",***,"250,000+",***,241875,30842,-,**,"250,000+",***,"250,000+",***,141297,18136,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,219028,90308,171836,38510,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,141103,69959,"250,000+",***,"250,000+",***,"250,000+",***,107485,11357,86979,23993,63917,18693,184063,80925,212000,51738,115893,111327,"250,000+",***,,94022
860Z200US94024,ZCTA5 94024,8016,354,4857,319,68,63,0,25,2594,253,31,42,146,82,320,118,318,126,4787,309,11,17,1454,228,3807,362,2744,253,6895,316,2916,271,3979,362,6218,349,2684,278,543,200,181,103,134,64,51,45,2776,304,1486,281,1906,291,609,133,80,54,38,27,1105,152,2026,310,3165,310,599,134,1121,199,645,142,593,129,52,35,476,150,440,148,36,41,8016,354,60.6,2.8,0.8,0.8,0.0,0.5,32.4,2.6,0.4,0.5,1.8,1.0,4.0,1.5,4.0,1.6,59.7,2.8,0.1,0.2,18.1,2.8,47.5,3.8,34.2,2.7,6895,316,42.3,3.9,57.7,3.9,90.2,2.9,38.9,4.1,7.9,2.9,2.6,1.5,1.9,0.9,0.7,0.6,40.3,3.6,21.6,3.9,27.6,4.3,8.8,1.9,1.2,0.8,0.6,0.4,16.0,2.1,29.4,3.9,45.9,4.2,8.7,2.0,1121,199,57.5,9.7,52.9,9.3,4.6,2.8,42.5,9.7,39.3,9.8,3.2,3.6,"250,000+",***,"250,000+",***,"250,000+",***,-,**,"250,000+",***,-,**,229318,74263,"250,000+",***,201000,77221,"250,000+",***,-,**,"250,000+",***,"250,000+",***,180214,24954,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,158125,41631,101771,57633,"250,000+",***,"250,000+",***,242740,17656,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,151938,30591,"250,000+",***,"250,000+",***,"250,000+",***,100913,42829,82614,49214,62250,35599,225556,102556,117604,48693,117045,53973,-,**,,94024
860Z200US94025,ZCTA5 94025,14318,489,9333,462,318,151,92,78,2506,239,0,29,718,218,1351,272,1902,318,8886,461,383,140,4991,428,5216,374,3728,334,9524,373,4840,341,4684,411,8208,351,4232,310,965,281,514,206,351,127,94,68,3923,425,2326,250,2182,282,799,196,171,90,123,69,937,167,2997,338,4630,352,960,176,4794,476,2742,332,2214,310,528,130,2052,335,1491,298,561,150,14318,489,65.2,2.3,2.2,1.0,0.6,0.5,17.5,1.5,0.0,0.3,5.0,1.5,9.4,1.8,13.3,2.1,62.1,2.6,2.7,1.0,34.9,2.7,36.4,2.4,26.0,2.1,9524,373,50.8,3.5,49.2,3.5,86.2,2.8,44.4,3.5,10.1,2.8,5.4,2.1,3.7,1.3,1.0,0.7,41.2,3.5,24.4,2.7,22.9,2.9,8.4,2.1,1.8,0.9,1.3,0.7,9.8,1.7,31.5,3.1,48.6,3.3,10.1,1.9,4794,476,57.2,4.9,46.2,5.0,11.0,2.6,42.8,4.9,31.1,5.0,11.7,2.9,215871,14249,240947,24835,170410,95235,-,**,212500,43711,-,**,139471,38270,182782,55017,139615,22635,"250,000+",***,129390,14067,213550,22415,"250,000+",***,135729,19273,"250,000+",***,"250,000+",***,238264,19288,"250,000+",***,"250,000+",***,100448,45406,100849,53838,131445,23394,131094,38728,205795,49650,"250,000+",***,"250,000+",***,"250,000+",***,189271,169404,133872,1037,122292,44745,237656,43852,"250,000+",***,"250,000+",***,120833,12664,107250,23161,75926,7588,217941,57859,146458,45905,122981,35439,194375,66802,,94025
860Z200US94028,ZCTA5 94028,2625,238,2313,253,0,19,0,19,154,73,0,19,73,94,85,58,126,108,2277,252,0,19,363,155,734,169,1528,270,1807,190,465,85,1342,201,1723,196,451,81,24,27,14,23,60,91,0,19,1067,215,237,90,298,88,104,73,96,101,5,10,511,165,546,179,591,124,159,107,818,234,409,174,390,172,19,31,409,181,340,173,69,54,2625,238,88.1,4.9,0.0,1.6,0.0,1.6,5.9,2.8,0.0,1.6,2.8,3.6,3.2,2.2,4.8,4.1,86.7,5.2,0.0,1.6,13.8,5.8,28.0,6.6,58.2,7.8,1807,190,25.7,5.2,74.3,5.2,95.4,5.2,25.0,5.0,1.3,1.5,0.8,1.3,3.3,5.0,0.0,2.3,59.0,8.1,13.1,5.0,16.5,4.9,5.8,4.2,5.3,5.5,0.3,0.6,28.3,8.1,30.2,9.0,32.7,7.3,8.8,5.9,818,234,50.0,16.7,47.7,16.4,2.3,3.9,50.0,16.7,41.6,16.1,8.4,6.9,"250,000+",***,"250,000+",***,-,**,-,**,"250,000+",***,-,**,-,**,"250,000+",***,231833,51246,"250,000+",***,-,**,244781,60537,"250,000+",***,177500,87982,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,-,**,-,**,-,**,-,**,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,232000,79261,-,**,"250,000+",***,"250,000+",***,"250,000+",***,232479,100763,143435,14650,123583,42209,127543,32253,-,**,159076,102084,144883,124036,215987,43614,,94028
860Z200US94040,ZCTA5 94040,15347,639,7255,597,167,83,72,52,5919,448,0,29,727,201,1207,229,1709,288,6923,565,496,199,7528,435,4717,426,2606,315,8146,471,4124,388,4022,417,6780,469,3342,375,1017,220,662,202,349,149,120,97,3397,383,2105,313,2058,318,411,112,128,99,47,40,711,154,2746,379,4036,393,653,225,7201,626,3018,468,2362,426,656,177,4183,461,3026,400,1157,283,15347,639,47.3,2.8,1.1,0.5,0.5,0.3,38.6,2.9,0.0,0.3,4.7,1.3,7.9,1.5,11.1,1.8,45.1,2.8,3.2,1.3,49.1,2.2,30.7,2.6,17.0,1.9,8146,471,50.6,4.0,49.4,4.0,83.2,3.0,41.0,4.0,12.5,2.7,8.1,2.4,4.3,1.8,1.5,1.2,41.7,3.9,25.8,3.7,25.3,3.5,5.0,1.4,1.6,1.2,0.6,0.5,8.7,2.0,33.7,4.0,49.5,4.3,8.0,2.6,7201,626,41.9,4.8,32.8,4.8,9.1,2.3,58.1,4.8,42.0,5.0,16.1,3.6,184494,13241,174485,16150,-,**,77000,41990,212372,24446,-,**,105767,62264,108899,30327,101544,42410,175944,16538,117845,42190,205071,14936,211910,24784,78782,25995,242500,28547,"250,000+",***,215654,26156,"250,000+",***,"250,000+",***,126051,41265,-,**,80234,72559,-,**,205302,39752,241776,51251,"250,000+",***,200216,102146,"250,000+",***,-,**,86771,60266,192625,22391,"250,000+",***,"250,000+",***,142573,10339,101425,12639,80469,18670,187656,45987,172738,25120,150155,16424,"250,000+",***,,94040
860Z200US94041,ZCTA5 94041,6652,399,3385,350,191,128,26,36,2013,281,0,21,424,185,613,193,1049,260,3017,354,173,92,3629,369,1870,253,980,181,3494,354,1637,269,1857,270,2728,332,1152,210,462,199,322,172,304,138,163,108,1645,280,775,167,737,179,275,138,62,64,0,21,166,81,1252,282,1821,312,255,108,3158,335,1292,238,1029,208,263,96,1866,306,1305,289,561,169,6652,399,50.9,4.5,2.9,1.9,0.4,0.5,30.3,4.3,0.0,0.6,6.4,2.8,9.2,2.7,15.8,3.7,45.4,4.6,2.6,1.4,54.6,4.1,28.1,3.5,14.7,2.5,3494,354,46.9,5.9,53.1,5.9,78.1,5.9,33.0,5.6,13.2,5.6,9.2,4.8,8.7,3.7,4.7,2.9,47.1,6.0,22.2,4.4,21.1,4.6,7.9,3.9,1.8,1.8,0.0,1.2,4.8,2.3,35.8,6.8,52.1,6.7,7.3,3.2,3158,335,40.9,6.7,32.6,5.8,8.3,3.0,59.1,6.7,41.3,7.2,17.8,5.3,168980,17402,160605,26742,46850,37232,-,**,224531,39242,-,**,76944,23973,188526,60413,72902,23593,163818,16954,-,**,189503,28918,163885,36277,77241,16322,189231,11698,190884,26119,185208,45012,227708,20460,224966,54745,63750,13925,51591,19630,98667,76099,46549,11834,183875,32537,184327,89001,224127,58913,90069,86555,-,**,-,**,114853,55770,126563,71463,236875,39127,"250,000+",***,142197,19280,105789,34387,84362,17608,"250,000+",***,170446,20625,140647,62966,242240,53710,,94041
860Z200US94043,ZCTA5 94043,13257,501,6345,490,282,186,28,26,4636,371,21,38,502,173,1443,333,1703,342,5939,464,429,149,6473,409,3937,440,2418,331,7393,359,3517,365,3876,313,6236,403,3063,391,710,207,215,108,447,137,239,107,3267,315,2008,297,1332,280,580,281,153,71,53,44,514,136,2055,313,4306,446,518,146,5864,531,2823,383,1989,317,834,272,3041,356,1889,303,1152,214,13257,501,47.9,3.2,2.1,1.4,0.2,0.2,35.0,2.7,0.2,0.3,3.8,1.3,10.9,2.4,12.8,2.6,44.8,3.0,3.2,1.1,48.8,2.8,29.7,3.0,18.2,2.3,7393,359,47.6,3.9,52.4,3.9,84.4,3.2,41.4,4.4,9.6,2.8,2.9,1.5,6.0,1.9,3.2,1.4,44.2,3.8,27.2,4.0,18.0,3.6,7.8,3.8,2.1,1.0,0.7,0.6,7.0,1.9,27.8,4.2,58.2,4.7,7.0,1.9,5864,531,48.1,4.4,33.9,4.8,14.2,4.2,51.9,4.4,32.2,4.5,19.6,3.3,180781,16210,192864,26166,94127,32352,-,**,222167,20332,-,**,139196,54324,133656,40369,82098,52848,203456,26434,181979,122763,249125,22734,161976,26992,67935,12091,221504,15753,236458,42950,212159,21063,"250,000+",***,"250,000+",***,118333,43816,100685,58647,175272,56533,176576,78858,212928,17895,"250,000+",***,"250,000+",***,112609,103606,237431,66953,214760,100646,52619,22699,127198,26136,"250,000+",***,212981,54849,141418,14993,93082,22232,76875,21079,196071,139691,179583,18745,152328,11850,"250,000+",***,,94043
860Z200US94062,ZCTA5 94062,9740,480,7788,424,106,74,18,26,852,195,0,25,132,65,844,302,1028,264,7496,422,142,88,2825,393,4072,317,2701,232,6995,402,2758,235,4237,363,6356,397,2488,226,383,105,176,75,256,97,94,52,3332,334,1682,224,1392,186,469,145,73,47,47,33,834,132,1810,230,3862,366,489,127,2745,404,1411,288,1050,233,361,131,1334,297,988,270,346,114,9740,480,80.0,3.0,1.1,0.8,0.2,0.3,8.7,1.9,0.0,0.4,1.4,0.7,8.7,3.0,10.6,2.6,77.0,3.0,1.5,0.9,29.0,3.4,41.8,3.0,27.7,2.2,6995,402,39.4,3.1,60.6,3.1,90.9,1.9,35.6,2.9,5.5,1.5,2.5,1.1,3.7,1.4,1.3,0.8,47.6,3.1,24.0,3.0,19.9,2.9,6.7,2.0,1.0,0.7,0.7,0.5,11.9,1.8,25.9,3.2,55.2,3.5,7.0,1.8,2745,404,51.4,7.7,38.3,6.9,13.2,4.3,48.6,7.7,36.0,7.3,12.6,4.1,233333,23991,"250,000+",***,-,**,-,**,"250,000+",***,-,**,149333,43925,173750,83431,159380,10887,"250,000+",***,217622,140860,"250,000+",***,"250,000+",***,152697,21790,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,169911,36271,182609,37695,163636,87020,-,**,232328,26725,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,199125,80333,106563,27627,"250,000+",***,"250,000+",***,"250,000+",***,115573,22077,96298,20097,88367,18578,122356,102190,148182,23063,135286,38871,"250,000+",***,,94062
860Z200US94085,ZCTA5 94085,9112,583,2313,312,150,85,79,73,4794,468,0,25,1037,243,739,308,1770,334,2066,275,480,256,5515,397,2304,417,813,162,5008,410,2088,257,2920,343,3852,350,1634,219,816,316,307,141,340,144,147,88,1939,288,1603,337,1019,265,258,96,128,100,61,49,332,98,1258,260,2742,351,676,196,4104,417,1348,337,1115,332,233,101,2756,370,1339,245,1417,323,9112,583,25.4,3.6,1.6,0.9,0.9,0.8,52.6,3.7,0.0,0.5,11.4,2.6,8.1,3.1,19.4,3.1,22.7,3.1,5.3,2.7,60.5,3.8,25.3,3.8,8.9,1.8,5008,410,41.7,4.3,58.3,4.3,76.9,5.7,32.6,3.9,16.3,5.7,6.1,2.7,6.8,2.8,2.9,1.8,38.7,5.5,32.0,5.4,20.3,5.0,5.2,1.9,2.6,2.0,1.2,1.0,6.6,2.0,25.1,4.7,54.8,5.3,13.5,3.6,4104,417,32.8,7.0,27.2,7.0,5.7,2.5,67.2,7.0,32.6,5.5,34.5,7.1,183563,13743,175703,30979,-,**,-,**,225625,37309,-,**,89401,18096,132656,44115,103606,15568,186923,26871,126913,30189,247569,28667,126250,38363,88047,23076,180890,19122,192581,17028,169750,30044,212188,41004,245469,63954,112561,16942,56488,32963,186538,50312,190169,138542,212625,47137,144115,55971,190113,82970,141250,81470,196204,12197,"250,000+",***,38516,13990,149375,31960,"250,000+",***,167750,81733,178117,25598,130533,15784,126348,13775,"250,000+",***,203284,28221,143393,23580,"250,000+",***,,94085
860Z200US94086,ZCTA5 94086,20166,740,6846,557,322,230,94,60,10004,619,0,29,1268,259,1632,383,2332,327,6501,560,713,247,11412,713,4995,419,3046,301,11531,673,5518,503,6013,570,9511,685,4560,461,1499,326,704,232,521,179,254,179,4828,545,3845,535,2120,273,580,180,106,66,52,31,724,120,4119,547,5594,570,1094,235,8635,550,3477,459,2334,405,1143,274,5158,473,3101,438,2057,338,20166,740,33.9,2.5,1.6,1.1,0.5,0.3,49.6,2.5,0.0,0.2,6.3,1.3,8.1,1.9,11.6,1.6,32.2,2.5,3.5,1.2,56.6,2.3,24.8,2.0,15.1,1.5,11531,673,47.9,3.6,52.1,3.6,82.5,2.9,39.5,3.4,13.0,2.8,6.1,2.0,4.5,1.6,2.2,1.5,41.9,3.7,33.3,4.0,18.4,2.4,5.0,1.6,0.9,0.6,0.5,0.3,6.3,1.1,35.7,4.2,48.5,3.9,9.5,2.0,8635,550,40.3,4.4,27.0,4.3,13.2,3.0,59.7,4.4,35.9,4.3,23.8,4.0,180217,11299,168022,11570,88636,55306,153214,67457,209828,25448,-,**,74033,19214,144667,40577,79951,22842,168967,11402,104421,61608,194228,13145,197682,18417,86964,18349,196250,12247,203935,41142,189085,17168,230457,22082,241154,27165,84215,19403,49000,39059,191755,52303,191202,127887,188712,15228,188552,27077,246250,54077,190600,104531,"250,000+",***,112097,64208,68750,10514,140614,19258,"250,000+",***,221091,34697,149606,10328,118817,18632,89500,34769,198672,50109,168042,17535,132288,17200,"250,000+",***,,94086
860Z200US94087,ZCTA5 94087,20384,664,8276,471,205,93,144,103,10332,632,28,45,574,235,825,195,1220,303,8024,470,255,113,8349,586,6912,412,4868,427,14974,559,7818,452,7156,460,12818,593,6922,454,1503,333,640,260,653,202,256,138,5396,415,3698,407,4269,476,1321,321,260,94,30,30,1617,291,4770,480,7260,478,1327,199,5410,561,3049,498,2375,389,674,323,2361,274,1744,257,617,178,20384,664,40.6,2.2,1.0,0.5,0.7,0.5,50.7,2.4,0.1,0.2,2.8,1.1,4.0,1.0,6.0,1.5,39.4,2.1,1.3,0.6,41.0,2.3,33.9,2.2,23.9,1.8,14974,559,52.2,2.4,47.8,2.4,85.6,2.5,46.2,2.8,10.0,2.2,4.3,1.7,4.4,1.3,1.7,0.9,36.0,2.2,24.7,2.7,28.5,2.9,8.8,2.1,1.7,0.6,0.2,0.2,10.8,1.8,31.9,3.0,48.5,2.9,8.9,1.3,5410,561,56.4,5.0,43.9,5.1,12.5,5.4,43.6,5.0,32.2,4.9,11.4,3.2,200778,16040,186250,24154,90094,7379,-,**,219500,20467,-,**,89283,42358,127782,46944,93468,33567,189792,26713,136875,64941,242813,23213,235047,17299,102841,12712,231835,13213,"250,000+",***,188956,20215,"250,000+",***,"250,000+",***,89523,24235,88992,14231,104185,25969,96652,10933,164500,24400,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,90302,14673,177143,16707,"250,000+",***,"250,000+",***,118243,16841,107122,19686,89034,20436,"250,000+",***,140742,34342,108304,25636,231553,33270,,94087
860Z200US94089,ZCTA5 94089,9129,588,3366,368,184,93,3,5,4236,520,13,14,763,208,564,176,1346,242,3064,351,324,188,4116,423,2961,377,1728,230,5424,369,1702,232,3722,386,4253,392,1406,245,647,172,187,87,524,184,109,52,2501,355,1257,244,1113,197,251,113,165,128,137,65,340,97,1670,319,2693,319,721,201,3705,539,1698,467,1088,255,610,368,2007,346,1313,316,694,181,9129,588,36.9,3.7,2.0,1.0,0.0,0.1,46.4,4.0,0.1,0.2,8.4,2.3,6.2,1.9,14.7,2.7,33.6,3.5,3.5,2.0,45.1,3.4,32.4,3.8,18.9,2.6,5424,369,31.4,4.3,68.6,4.3,78.4,4.0,25.9,4.4,11.9,3.2,3.4,1.6,9.7,3.4,2.0,1.0,46.1,4.7,23.2,4.1,20.5,3.7,4.6,2.2,3.0,2.3,2.5,1.2,6.3,1.7,30.8,5.0,49.6,5.2,13.3,3.8,3705,539,45.8,8.6,29.4,6.7,16.5,8.4,54.2,8.6,35.4,7.5,18.7,5.3,153725,8513,135000,31738,62813,24761,-,**,191181,37760,-,**,111339,26476,175769,106061,112241,39976,122833,35734,153153,5852,214082,26440,148670,10730,83509,11224,151713,19532,129792,18594,180694,36011,197478,32390,141905,18448,73589,34883,61847,50925,81458,11286,61917,34893,218646,39210,113450,11231,129327,33185,247532,155032,171607,116645,231250,75837,59324,31406,109453,16432,217674,39727,198512,46238,153139,15117,136408,32501,90986,11340,154595,94724,173542,55174,150380,32433,"250,000+",***,,94089
860Z200US94301,ZCTA5 94301,7080,423,4765,383,149,83,0,21,1710,254,0,21,50,43,406,145,235,94,4695,389,100,77,1971,285,2693,253,2316,246,4616,301,1937,260,2679,276,3994,322,1588,249,453,135,241,97,169,86,108,68,2417,263,1079,180,784,245,218,83,99,72,19,25,757,197,1380,288,2073,314,406,169,2464,333,1587,252,1352,236,235,77,877,214,739,193,138,69,7080,423,67.3,4.0,2.1,1.2,0.0,0.6,24.2,3.3,0.0,0.6,0.7,0.6,5.7,1.9,3.3,1.4,66.3,4.0,1.4,1.1,27.8,3.3,38.0,3.2,32.7,3.1,4616,301,42.0,4.8,58.0,4.8,86.5,3.3,34.4,4.7,9.8,2.9,5.2,2.1,3.7,1.9,2.3,1.5,52.4,4.9,23.4,3.9,17.0,4.9,4.7,1.8,2.1,1.6,0.4,0.6,16.4,4.0,29.9,6.3,44.9,6.2,8.8,3.5,2464,333,64.4,6.6,54.9,6.9,9.5,3.0,35.6,6.6,30.0,6.1,5.6,2.7,235529,18070,234290,19271,-,**,-,**,"250,000+",***,-,**,42685,40915,-,**,77536,65224,235132,20785,86957,86030,"250,000+",***,"250,000+",***,133861,14022,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,160083,31556,180547,74323,182188,138583,180125,124902,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,"250,000+",***,-,**,134346,33590,"250,000+",***,"250,000+",***,"250,000+",***,112348,36484,79361,17682,67039,26198,176838,69479,190893,99189,190179,97361,"250,000+",***,,94301
860Z200US94303,ZCTA5 94303,14485,570,5373,439,1250,195,262,158,3386,455,281,123,2434,305,1499,377,4313,406,4724,382,181,110,4894,423,6181,540,3229,420,10871,537,5034,425,5837,550,8152,504,4024,421,1866,352,629,194,853,198,381,142,3317,499,2882,454,2898,454,874,241,352,141,548,161,899,181,3208,501,4421,443,2343,403,3614,600,1908,434,1406,329,502,233,1706,380,1350,362,356,124,14485,570,37.1,3.0,8.6,1.4,1.8,1.1,23.4,2.7,1.9,0.9,16.8,2.1,10.3,2.5,29.8,2.5,32.6,2.5,1.2,0.8,33.8,2.7,42.7,3.5,22.3,2.6,10871,537,46.3,3.7,53.7,3.7,75.0,3.6,37.0,3.8,17.2,3.0,5.8,1.8,7.8,1.7,3.5,1.3,30.5,4.0,26.5,4.0,26.7,3.9,8.0,2.3,3.2,1.3,5.0,1.6,8.3,1.6,29.5,4.0,40.7,3.7,21.6,3.8,3614,600,52.8,7.7,38.9,7.0,13.9,5.6,47.2,7.7,37.4,8.2,9.9,3.2,148031,11110,175515,22222,82768,29727,86200,54482,"250,000+",***,145772,97820,85385,15738,107330,72826,81882,9594,190763,17830,72656,51425,150523,17291,191107,24626,105321,20740,169976,16126,210985,27783,142083,18430,214492,21988,247250,29821,87625,18684,52768,29321,84360,12134,76563,75696,115491,28380,206167,80707,210595,34863,153125,25452,172321,109953,177500,81556,93882,29226,83917,20215,"250,000+",***,172913,21919,71393,22995,65484,47587,52430,12129,142152,48695,77833,21955,61429,16690,190543,95559,,94303
